Company Name,Type of Company,Year of Establishment,Registration Number,GST Number,PAN Number,Head Office District,Contact Number,Official Email,Website,Branch Office Locations,Owner / MD Name,Key Decision Maker,Total Employees,Organizational Structure,Board of Directors,Nature of Business,Core Specialization,Service Areas,Years of Experience,Avg Projects Per Year,Avg Annual Turnover (Rs.),Net Worth (Rs.),Financial Stability,Financial Commitments,Total Engineers,Total Technical Staff,Major Machinery,Equipment Capacity,Total Projects Completed,Blacklisting History,Legal Disputes,ISO Certification,Safety Compliance,Environmental Compliance,Labour Law Compliance
Square Infra Solutions 571,Partnership,2007,SIQAK8KLUD,VWY0GOPGE0VL709,UIP3D3X0Z0,Nagapattinam,9509438995,squareinfrasolutions571@example.com,www.squareinfra571.com,Coimbatore,Owner 571,MD 571,153,Hierarchical,"Director A571, Director B571",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,26,23,33369034,195543991,Moderate,27389088,99,122,"Excavators, Cranes, Concrete Mixers",Low,54,Yes,No,Multiple,Low,Non-Compliant,Partial
Square Infra Solutions 572,Partnership,1996,J9CAJ7TFNB,YI2NPCGVJBC8EDJ,APC4131WIC,Nagapattinam,9433760731,squareinfrasolutions572@example.com,www.squareinfra572.com,Tiruvarur,Owner 572,MD 572,173,Hierarchical,"Director A572, Director B572",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,25,12,276903240,132205735,At Risk,4541722,24,66,"Excavators, Cranes, Concrete Mixers",Low,282,Yes,Yes,ISO 45001,Medium,Compliant,Non-Compliant
Square Infra Solutions 573,Proprietorship,2003,R1OOBLWOQ6,0BB696HR4TOLD7U,IS6J75ARBC,Theni,9403014003,squareinfrasolutions573@example.com,www.squareinfra573.com,Thoothukudi,Owner 573,MD 573,57,Hierarchical,"Director A573, Director B573",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,5,6,204244465,37058824,At Risk,3287937,84,98,"Excavators, Cranes, Concrete Mixers",Medium,184,Yes,No,Not Certified,Low,Compliant,Non-Compliant
Square Infra Solutions 574,Partnership,2005,WMJTGMAAFQ,CL9AHUTWJU7MNXS,5ZZC1R7JQK,Virudhunagar,9336484191,squareinfrasolutions574@example.com,www.squareinfra574.com,Nilgiris,Owner 574,MD 574,69,Hierarchical,"Director A574, Director B574",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,12,7,206721197,252553319,At Risk,26884299,57,182,"Excavators, Cranes, Concrete Mixers",High,297,No,Yes,Not Certified,Medium,Non-Compliant,Partial
Square Infra Solutions 575,Partnership,1995,Z4YWSCIC67,6IFBOEHLZKOCH79,L3SRF69B84,Dindigul,9407104227,squareinfrasolutions575@example.com,www.squareinfra575.com,Ranipet,Owner 575,MD 575,144,Hierarchical,"Director A575, Director B575",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,22,19,317977954,174237426,Stable,17366730,69,148,"Excavators, Cranes, Concrete Mixers",High,48,Yes,Yes,ISO 14001,High,Compliant,Non-Compliant
Square Infra Solutions 576,Ltd,2019,L83QU1U4TL,Z55TGDT0QK18K6J,BVSZD1BP0P,Ramanathapuram,9636869204,squareinfrasolutions576@example.com,www.squareinfra576.com,Tiruvarur,Owner 576,MD 576,222,Hierarchical,"Director A576, Director B576",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,6,5,86622813,153317962,At Risk,1294640,59,40,"Excavators, Cranes, Concrete Mixers",Low,229,No,No,ISO 14001,Medium,Non-Compliant,Non-Compliant
Square Infra Solutions 577,Pvt Ltd,2021,5G2S3A64BS,260AI7BUJ7JU8BD,38BH5MS61U,Thanjavur,9946155813,squareinfrasolutions577@example.com,www.squareinfra577.com,Krishnagiri,Owner 577,MD 577,492,Hierarchical,"Director A577, Director B577",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,18,5,121776415,90099961,Stable,26609418,91,151,"Excavators, Cranes, Concrete Mixers",High,149,No,No,ISO 14001,Low,Compliant,Non-Compliant
Square Infra Solutions 578,Pvt Ltd,2002,147EH5JL5H,E0FZ12F63PSC9GG,DY6UOIAW5K,Tenkasi,9214364858,squareinfrasolutions578@example.com,www.squareinfra578.com,Tirunelveli,Owner 578,MD 578,122,Hierarchical,"Director A578, Director B578",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,7,24,150629448,30318219,At Risk,13289235,15,41,"Excavators, Cranes, Concrete Mixers",High,74,Yes,No,ISO 9001,High,Compliant,Non-Compliant
Square Infra Solutions 579,Proprietorship,2014,JDGSYFDH9H,YKW7V0NKT7CMCJI,2VAEBNC597,Theni,9002754025,squareinfrasolutions579@example.com,www.squareinfra579.com,Tiruvannamalai,Owner 579,MD 579,387,Hierarchical,"Director A579, Director B579",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,23,19,163208740,47864626,At Risk,31478395,56,19,"Excavators, Cranes, Concrete Mixers",Medium,206,Yes,Yes,ISO 45001,Medium,Compliant,Compliant
Square Infra Solutions 580,Proprietorship,1995,U265YY3N70,19HV1SOTKK2BEWF,93KU3MGU7P,Tiruvallur,9638272848,squareinfrasolutions580@example.com,www.squareinfra580.com,Karur,Owner 580,MD 580,254,Hierarchical,"Director A580, Director B580",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,25,17,252328419,2924427,Stable,7832270,72,22,"Excavators, Cranes, Concrete Mixers",High,167,Yes,No,ISO 14001,High,Partial,Non-Compliant
Square Infra Solutions 581,Partnership,2012,WOYY45ATBP,3WW6X29XL45VJZX,OVR7LDJY9H,Mayiladuthurai,9074185517,squareinfrasolutions581@example.com,www.squareinfra581.com,Dindigul,Owner 581,MD 581,394,Hierarchical,"Director A581, Director B581",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,20,8,198406498,176072442,Stable,45890842,83,164,"Excavators, Cranes, Concrete Mixers",High,110,Yes,Yes,ISO 45001,Medium,Non-Compliant,Compliant
Square Infra Solutions 582,Partnership,2012,NCCHFSPNOI,2XMXGFT8TVR4EWC,NUTA1OMK8Y,Pudukkottai,9264562896,squareinfrasolutions582@example.com,www.squareinfra582.com,Cuddalore,Owner 582,MD 582,149,Hierarchical,"Director A582, Director B582",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,4,3,339768986,83122065,Moderate,1705966,73,178,"Excavators, Cranes, Concrete Mixers",Medium,258,No,No,Multiple,Low,Partial,Non-Compliant
Square Infra Solutions 583,Pvt Ltd,2005,4GEK0RHLJF,ALDW9ZHWITSCB5K,AETV9KAKMS,Tiruvannamalai,9228528600,squareinfrasolutions583@example.com,www.squareinfra583.com,Kanniyakumari,Owner 583,MD 583,425,Hierarchical,"Director A583, Director B583",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,5,8,401578918,214952894,Moderate,5663856,20,14,"Excavators, Cranes, Concrete Mixers",High,187,Yes,No,Multiple,Medium,Compliant,Non-Compliant
Square Infra Solutions 584,Ltd,2010,8ZDDKE2IMA,AMSCWWTZN34XLON,F0F818Q8QI,Tiruchirappalli,9315953051,squareinfrasolutions584@example.com,www.squareinfra584.com,Dindigul,Owner 584,MD 584,427,Hierarchical,"Director A584, Director B584",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,24,23,126300245,248118471,Moderate,29124306,9,45,"Excavators, Cranes, Concrete Mixers",High,230,Yes,Yes,ISO 45001,Medium,Compliant,Partial
Square Infra Solutions 585,Pvt Ltd,1999,AR3RJ5WVIT,DOYLNH22DCIW3XH,YKVTNSURB1,Tiruchirappalli,9277094745,squareinfrasolutions585@example.com,www.squareinfra585.com,Tirunelveli,Owner 585,MD 585,479,Hierarchical,"Director A585, Director B585",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,13,16,194091284,282827664,At Risk,26082850,33,134,"Excavators, Cranes, Concrete Mixers",High,264,Yes,Yes,Not Certified,Medium,Partial,Compliant
Square Infra Solutions 586,Pvt Ltd,2012,U1P3W0S72W,XMKP397OAXWVRND,BTUTZ9R3MW,Kallakurichi,9019313179,squareinfrasolutions586@example.com,www.squareinfra586.com,Thoothukudi,Owner 586,MD 586,409,Hierarchical,"Director A586, Director B586",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,24,8,244727119,90180337,Moderate,12080033,55,198,"Excavators, Cranes, Concrete Mixers",Low,72,No,No,ISO 9001,Medium,Non-Compliant,Partial
Square Infra Solutions 587,Proprietorship,2001,BZCUIOSZXB,2RWOOP3VVX6YI02,4EC811U8P6,Kallakurichi,9549251503,squareinfrasolutions587@example.com,www.squareinfra587.com,Dharmapuri,Owner 587,MD 587,38,Hierarchical,"Director A587, Director B587",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,22,4,82949931,278609589,Moderate,46520312,14,34,"Excavators, Cranes, Concrete Mixers",High,87,No,Yes,Multiple,Low,Partial,Partial
Square Infra Solutions 588,Partnership,1998,3A2ZV1JD8Z,6KXW42BHUZ6EHQ1,5U7XSUFQLE,Ariyalur,9208374739,squareinfrasolutions588@example.com,www.squareinfra588.com,Tiruvallur,Owner 588,MD 588,269,Hierarchical,"Director A588, Director B588",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,28,19,179987101,78117396,Stable,13852965,79,10,"Excavators, Cranes, Concrete Mixers",Low,90,No,Yes,ISO 45001,Low,Non-Compliant,Partial
Square Infra Solutions 589,Proprietorship,2008,7GP61A8MDM,TLWLC036Q06FINB,V282GHMT53,Tenkasi,9094037778,squareinfrasolutions589@example.com,www.squareinfra589.com,Sivaganga,Owner 589,MD 589,231,Hierarchical,"Director A589, Director B589",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,25,16,298194063,242634526,At Risk,18697853,54,113,"Excavators, Cranes, Concrete Mixers",Medium,287,No,No,ISO 14001,Low,Partial,Compliant
Square Infra Solutions 590,Partnership,2007,9BN0KLXS8Y,0256IYGXPGKS8TX,PC6CG0Z4UW,Ranipet,9391137260,squareinfrasolutions590@example.com,www.squareinfra590.com,Krishnagiri,Owner 590,MD 590,321,Hierarchical,"Director A590, Director B590",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,22,9,248190524,254125381,At Risk,7210904,91,15,"Excavators, Cranes, Concrete Mixers",High,234,No,Yes,Not Certified,Medium,Non-Compliant,Partial
Square Infra Solutions 591,Partnership,1995,4HK26HS9R7,9QHI375QGNGY4TQ,1W9B13EU81,Thanjavur,9564185260,squareinfrasolutions591@example.com,www.squareinfra591.com,Tiruvannamalai,Owner 591,MD 591,348,Hierarchical,"Director A591, Director B591",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,2,3,315418496,15082465,Stable,3679832,17,198,"Excavators, Cranes, Concrete Mixers",Low,153,Yes,Yes,Not Certified,Low,Non-Compliant,Compliant
Square Infra Solutions 592,Ltd,2014,7JT5ARWJSM,TST5LH2RFV41KGN,1PUUOA4ZHS,Thanjavur,9584004583,squareinfrasolutions592@example.com,www.squareinfra592.com,Thoothukudi,Owner 592,MD 592,289,Hierarchical,"Director A592, Director B592",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,17,2,406442726,218478910,Moderate,5095507,84,162,"Excavators, Cranes, Concrete Mixers",High,38,Yes,Yes,ISO 9001,High,Partial,Compliant
Square Infra Solutions 593,Pvt Ltd,2008,LGGM7WNYS6,KYMYJAIRVV6YB8C,BQLMINWU96,Ramanathapuram,9155680558,squareinfrasolutions593@example.com,www.squareinfra593.com,Kallakurichi,Owner 593,MD 593,200,Hierarchical,"Director A593, Director B593",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,25,8,114545886,230229109,At Risk,29048262,66,163,"Excavators, Cranes, Concrete Mixers",Medium,92,Yes,No,ISO 14001,Low,Compliant,Partial
Square Infra Solutions 594,Partnership,2006,5AG6389P7G,3K9ES9VAJRH871W,LPYQ6NHSPJ,Mayiladuthurai,9136261074,squareinfrasolutions594@example.com,www.squareinfra594.com,Pudukkottai,Owner 594,MD 594,119,Hierarchical,"Director A594, Director B594",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,30,19,92026495,36262987,At Risk,15202423,88,15,"Excavators, Cranes, Concrete Mixers",Medium,283,No,Yes,Multiple,High,Partial,Compliant
Square Infra Solutions 595,Partnership,2016,Z4FQG3JAZI,UXN94LA8TNUZU7R,Z817F5N11Q,Tirunelveli,9152870158,squareinfrasolutions595@example.com,www.squareinfra595.com,Krishnagiri,Owner 595,MD 595,487,Hierarchical,"Director A595, Director B595",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,9,25,47932495,155277900,Moderate,32884944,61,58,"Excavators, Cranes, Concrete Mixers",Medium,142,No,No,ISO 45001,High,Partial,Compliant
Square Infra Solutions 596,Pvt Ltd,2020,OO4ID31LTD,C83PJK058DU2OCA,BPM0SDN6P7,Tiruppur,9338697473,squareinfrasolutions596@example.com,www.squareinfra596.com,Kancheepuram,Owner 596,MD 596,486,Hierarchical,"Director A596, Director B596",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,23,7,98697092,97258454,At Risk,6305219,60,144,"Excavators, Cranes, Concrete Mixers",Medium,139,Yes,No,ISO 14001,Medium,Compliant,Non-Compliant
Square Infra Solutions 597,Ltd,2016,W1CIYKL4V1,SZ2MNRZWYOMW7AM,KTTNX239QE,Ramanathapuram,9829405661,squareinfrasolutions597@example.com,www.squareinfra597.com,Coimbatore,Owner 597,MD 597,206,Hierarchical,"Director A597, Director B597",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,10,118250579,97106295,Moderate,28652493,87,48,"Excavators, Cranes, Concrete Mixers",High,249,Yes,Yes,Multiple,High,Partial,Partial
Square Infra Solutions 598,Proprietorship,2006,HEBDE1FSPM,1MMJFWOM16MLXBS,YGJ5W3EW5U,Tirunelveli,9275773897,squareinfrasolutions598@example.com,www.squareinfra598.com,Madurai,Owner 598,MD 598,465,Hierarchical,"Director A598, Director B598",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,13,9,319921920,4364274,At Risk,5728532,28,51,"Excavators, Cranes, Concrete Mixers",High,248,No,No,ISO 9001,Low,Partial,Non-Compliant
Square Infra Solutions 599,Pvt Ltd,2000,DHYP4VLTVU,BKFNKEUEYPWGGHO,G4S8IODA9M,Erode,9108113580,squareinfrasolutions599@example.com,www.squareinfra599.com,Sivaganga,Owner 599,MD 599,346,Hierarchical,"Director A599, Director B599",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,9,25,184918295,278321347,Stable,49342181,99,122,"Excavators, Cranes, Concrete Mixers",Medium,56,No,Yes,Multiple,Medium,Non-Compliant,Partial
Square Infra Solutions 600,Proprietorship,2012,8D9KXPTQVO,76M0T464ZKNTEOZ,5JGBAO77JS,Chengalpattu,9933619407,squareinfrasolutions600@example.com,www.squareinfra600.com,Ariyalur,Owner 600,MD 600,209,Hierarchical,"Director A600, Director B600",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,16,8,493656605,189972659,At Risk,39226036,30,175,"Excavators, Cranes, Concrete Mixers",High,63,No,No,Not Certified,High,Partial,Partial
Square Infra Solutions 601,Partnership,2001,4EWQEOFCFP,9N2A2JYVWM7IX7G,BQG6EWEAXB,Mayiladuthurai,9465924538,squareinfrasolutions601@example.com,www.squareinfra601.com,Viluppuram,Owner 601,MD 601,77,Hierarchical,"Director A601, Director B601",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,2,4,411422577,84128714,Stable,44986229,5,74,"Excavators, Cranes, Concrete Mixers",Medium,188,No,Yes,Not Certified,High,Partial,Non-Compliant
Square Infra Solutions 602,Ltd,2022,WT76W5M2DB,TFIESU9OGRL80PM,BDF3O31W0X,Namakkal,9741555691,squareinfrasolutions602@example.com,www.squareinfra602.com,Erode,Owner 602,MD 602,168,Hierarchical,"Director A602, Director B602",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,28,4,490035066,239229685,Moderate,1142038,5,120,"Excavators, Cranes, Concrete Mixers",Low,31,No,Yes,ISO 14001,Medium,Non-Compliant,Compliant
Square Infra Solutions 603,Pvt Ltd,2016,GLF31VG4IJ,9BEKT8X0SM2O0H2,QD92BK10M3,Tiruvallur,9823343752,squareinfrasolutions603@example.com,www.squareinfra603.com,Mayiladuthurai,Owner 603,MD 603,72,Hierarchical,"Director A603, Director B603",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,22,25,400443241,126941822,Moderate,40881864,89,151,"Excavators, Cranes, Concrete Mixers",Medium,195,Yes,Yes,Multiple,Low,Non-Compliant,Compliant
Square Infra Solutions 604,Pvt Ltd,2002,9N9HNHHFQN,6TSNBI6QNR6US8E,Z0Y81R2Z7F,Tiruvallur,9543854657,squareinfrasolutions604@example.com,www.squareinfra604.com,Virudhunagar,Owner 604,MD 604,131,Hierarchical,"Director A604, Director B604",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,14,435427053,253125365,Stable,17101292,6,100,"Excavators, Cranes, Concrete Mixers",High,171,No,No,Multiple,Medium,Partial,Partial
Square Infra Solutions 605,Proprietorship,2017,QYS6W7SSUA,K2UN4HXZZIO7KSC,YMIKNJ5S1V,Theni,9221891225,squareinfrasolutions605@example.com,www.squareinfra605.com,Dindigul,Owner 605,MD 605,285,Hierarchical,"Director A605, Director B605",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,29,6,472824965,184926500,Moderate,21099757,25,100,"Excavators, Cranes, Concrete Mixers",High,90,No,Yes,ISO 9001,Low,Compliant,Compliant
Square Infra Solutions 606,Proprietorship,2012,SWRNWZ1KDF,J3AXMIO5U1VIOY8,0O63G8QCQN,Theni,9305393940,squareinfrasolutions606@example.com,www.squareinfra606.com,Tirupathur,Owner 606,MD 606,468,Hierarchical,"Director A606, Director B606",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,21,15,182199377,77929949,Stable,45006940,74,186,"Excavators, Cranes, Concrete Mixers",Low,236,No,Yes,Multiple,High,Non-Compliant,Partial
Square Infra Solutions 607,Partnership,1999,7VWYD41W2M,TATTR38S3ANEC2J,5TQQY9B3ZG,Erode,9050638820,squareinfrasolutions607@example.com,www.squareinfra607.com,Salem,Owner 607,MD 607,279,Hierarchical,"Director A607, Director B607",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,25,251493778,147176221,Stable,12521530,94,27,"Excavators, Cranes, Concrete Mixers",High,148,No,No,Not Certified,Medium,Non-Compliant,Compliant
Square Infra Solutions 608,Partnership,2019,VV2FO9ENQ0,QF8L9RUVQDGYR5R,LXVL7YPIGC,Tenkasi,9939524434,squareinfrasolutions608@example.com,www.squareinfra608.com,Tirupathur,Owner 608,MD 608,300,Hierarchical,"Director A608, Director B608",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,16,25,451546873,294297776,Moderate,27055906,73,19,"Excavators, Cranes, Concrete Mixers",Medium,75,No,Yes,Multiple,High,Non-Compliant,Compliant
Square Infra Solutions 609,Partnership,2000,P7T0LBIHSO,FETJSLECBTC1N23,XIBUD5Y3CU,Nagapattinam,9377102574,squareinfrasolutions609@example.com,www.squareinfra609.com,Ramanathapuram,Owner 609,MD 609,63,Hierarchical,"Director A609, Director B609",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,23,13,437724825,23422315,At Risk,22113943,83,31,"Excavators, Cranes, Concrete Mixers",Low,240,No,Yes,Multiple,High,Non-Compliant,Compliant
Square Infra Solutions 610,Pvt Ltd,2007,CUE0RS40PH,WBYUV99HTAYUNE5,344CCYEZI6,Tiruchirappalli,9053837644,squareinfrasolutions610@example.com,www.squareinfra610.com,Karur,Owner 610,MD 610,194,Hierarchical,"Director A610, Director B610",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,20,14,397077343,249480720,Stable,7167929,16,71,"Excavators, Cranes, Concrete Mixers",High,244,No,Yes,ISO 9001,Medium,Partial,Non-Compliant
Square Infra Solutions 611,Ltd,2013,7NPCJYNS6V,XLPP0WA80E3AQ1K,D7ZXKDO3JM,Namakkal,9232213763,squareinfrasolutions611@example.com,www.squareinfra611.com,Chengalpattu,Owner 611,MD 611,363,Hierarchical,"Director A611, Director B611",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,16,3,464732297,292052748,At Risk,8851149,39,54,"Excavators, Cranes, Concrete Mixers",Medium,286,No,No,Multiple,Low,Non-Compliant,Compliant
Square Infra Solutions 612,Ltd,2010,WZF9W6TRQE,EDL0CLZJQ5ABUVG,1H1501WIZH,Tiruvarur,9436318413,squareinfrasolutions612@example.com,www.squareinfra612.com,Tiruppur,Owner 612,MD 612,469,Hierarchical,"Director A612, Director B612",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,15,6,256307615,231873537,Stable,31262120,48,169,"Excavators, Cranes, Concrete Mixers",Low,225,No,Yes,ISO 14001,High,Non-Compliant,Compliant
Square Infra Solutions 613,Ltd,1996,83E2II17TS,XPEZ00FDRZMEP1W,X0YKUV7FAW,Kancheepuram,9141174576,squareinfrasolutions613@example.com,www.squareinfra613.com,Viluppuram,Owner 613,MD 613,80,Hierarchical,"Director A613, Director B613",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,18,13,348926516,111747304,Moderate,49330768,29,179,"Excavators, Cranes, Concrete Mixers",High,166,No,Yes,ISO 14001,High,Compliant,Compliant
Square Infra Solutions 614,Proprietorship,2014,4XQ1HM57ZN,Z538ILCAIXSFX4X,52PFU9PJE1,Krishnagiri,9346268041,squareinfrasolutions614@example.com,www.squareinfra614.com,Thanjavur,Owner 614,MD 614,488,Hierarchical,"Director A614, Director B614",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,5,25,121654434,219351289,Stable,28546659,55,87,"Excavators, Cranes, Concrete Mixers",Low,143,No,Yes,ISO 45001,Low,Compliant,Non-Compliant
Square Infra Solutions 615,Ltd,1998,G2HTB4AU6A,K5MO20JIQGY569M,08LV08EZ1S,Virudhunagar,9591251334,squareinfrasolutions615@example.com,www.squareinfra615.com,Coimbatore,Owner 615,MD 615,373,Hierarchical,"Director A615, Director B615",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,16,21,154420631,273567847,Stable,16699926,66,86,"Excavators, Cranes, Concrete Mixers",High,178,Yes,Yes,ISO 9001,Medium,Compliant,Compliant
Square Infra Solutions 616,Partnership,2003,KWRIXTX44I,H8XHSAT87B4B74Q,ES6J72S9OX,Virudhunagar,9752634693,squareinfrasolutions616@example.com,www.squareinfra616.com,Tirunelveli,Owner 616,MD 616,16,Hierarchical,"Director A616, Director B616",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,20,13,167477634,241152919,Moderate,2986644,86,70,"Excavators, Cranes, Concrete Mixers",Medium,275,Yes,No,ISO 45001,Medium,Partial,Non-Compliant
Square Infra Solutions 617,Proprietorship,2022,G1UK76M193,DW8D7PK81GIR1UB,XMJ1KPPM6M,Tiruppur,9094703177,squareinfrasolutions617@example.com,www.squareinfra617.com,Sivaganga,Owner 617,MD 617,450,Hierarchical,"Director A617, Director B617",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,1,23,285514160,17494152,At Risk,8446791,97,47,"Excavators, Cranes, Concrete Mixers",Medium,86,Yes,Yes,Multiple,Low,Partial,Compliant
Square Infra Solutions 618,Proprietorship,2011,VVIZUN4RDP,HQDD4S6WU8HX1G9,YVB8XOGVF2,Karur,9769503742,squareinfrasolutions618@example.com,www.squareinfra618.com,Perambalur,Owner 618,MD 618,117,Hierarchical,"Director A618, Director B618",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,19,300939850,272500637,At Risk,14551003,52,85,"Excavators, Cranes, Concrete Mixers",Medium,138,Yes,No,Multiple,High,Non-Compliant,Non-Compliant
Square Infra Solutions 619,Pvt Ltd,2005,B5NIVVK9BC,8ZL8VD6NA13I00I,SCD73HUABQ,Krishnagiri,9278562002,squareinfrasolutions619@example.com,www.squareinfra619.com,Tiruvarur,Owner 619,MD 619,19,Hierarchical,"Director A619, Director B619",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,4,378752117,172454694,Stable,39673243,60,65,"Excavators, Cranes, Concrete Mixers",High,77,No,No,ISO 14001,Medium,Compliant,Compliant
Square Infra Solutions 620,Ltd,2014,1TMTCC10XY,O28U4BJNABHBJIT,O8HD3G2JZD,Madurai,9937090992,squareinfrasolutions620@example.com,www.squareinfra620.com,Tirupathur,Owner 620,MD 620,457,Hierarchical,"Director A620, Director B620",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,13,11,143514154,49454519,At Risk,21298670,86,194,"Excavators, Cranes, Concrete Mixers",Low,71,No,No,ISO 9001,High,Non-Compliant,Non-Compliant
Square Infra Solutions 621,Partnership,2013,QB3GTEAHI2,PB8QXZGCTJMAV8G,ZAHYP78438,Tirunelveli,9397018076,squareinfrasolutions621@example.com,www.squareinfra621.com,Thanjavur,Owner 621,MD 621,94,Hierarchical,"Director A621, Director B621",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,7,23,491396725,292612736,Stable,25997126,50,81,"Excavators, Cranes, Concrete Mixers",Medium,74,No,No,ISO 45001,High,Partial,Non-Compliant
Square Infra Solutions 622,Ltd,2021,6A5BHIX9A1,5QNGJPFGT0E5SV1,DWJL5A63IG,Tiruchirappalli,9914472015,squareinfrasolutions622@example.com,www.squareinfra622.com,Cuddalore,Owner 622,MD 622,79,Hierarchical,"Director A622, Director B622",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,1,4,105353849,107637596,Moderate,18333631,78,156,"Excavators, Cranes, Concrete Mixers",Low,144,Yes,No,ISO 14001,Medium,Non-Compliant,Partial
Square Infra Solutions 623,Ltd,2018,Z3HKG7QN24,W784X6HRPXF9YCY,BB8JR1LPVX,Tirunelveli,9877105858,squareinfrasolutions623@example.com,www.squareinfra623.com,Dharmapuri,Owner 623,MD 623,446,Hierarchical,"Director A623, Director B623",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,23,14,489372648,120461112,At Risk,20089291,6,110,"Excavators, Cranes, Concrete Mixers",Medium,164,No,No,Not Certified,Medium,Partial,Partial
Square Infra Solutions 624,Ltd,2003,TCMB5KNKOP,RFWYNIR65RPH8JK,6HKJM34HZX,Thoothukudi,9072995911,squareinfrasolutions624@example.com,www.squareinfra624.com,Ranipet,Owner 624,MD 624,357,Hierarchical,"Director A624, Director B624",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,26,23,95550697,11193132,Moderate,34710554,5,41,"Excavators, Cranes, Concrete Mixers",High,113,No,No,ISO 14001,Medium,Partial,Compliant
Square Infra Solutions 625,Partnership,2011,EMAEQ05KXL,WP46ZVT3VMCKJR0,BQFX4FD3OH,Madurai,9552118373,squareinfrasolutions625@example.com,www.squareinfra625.com,Madurai,Owner 625,MD 625,493,Hierarchical,"Director A625, Director B625",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,20,24,253022618,68695494,Stable,28731270,64,142,"Excavators, Cranes, Concrete Mixers",High,137,Yes,Yes,ISO 9001,Medium,Non-Compliant,Non-Compliant
Square Infra Solutions 626,Pvt Ltd,1999,YDD3YK7SWF,UJ5NNLYAEXWAWLP,VGBI8D2JW9,Nilgiris,9500409555,squareinfrasolutions626@example.com,www.squareinfra626.com,Pudukkottai,Owner 626,MD 626,361,Hierarchical,"Director A626, Director B626",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,23,4,400517681,285855936,Moderate,32813107,68,194,"Excavators, Cranes, Concrete Mixers",Medium,268,No,Yes,Multiple,Medium,Non-Compliant,Non-Compliant
Square Infra Solutions 627,Proprietorship,2003,U2COAXHN1Z,VXAUWM3A8LC779D,S28CHRZ52I,Nagapattinam,9785867973,squareinfrasolutions627@example.com,www.squareinfra627.com,Tiruvannamalai,Owner 627,MD 627,53,Hierarchical,"Director A627, Director B627",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,13,6,13683808,292941025,Stable,14066916,64,166,"Excavators, Cranes, Concrete Mixers",High,63,No,No,ISO 14001,Low,Non-Compliant,Partial
